timestamp publish_pose video_counter image_counter
1732203252.090223 1 1 0
1732203252.490338 0 1 1
1732203252.890333 0 1 1
1732203253.290358 0 1 1
1732203253.690608 0 1 1
1732203254.090359 1 2 1
1732203254.490334 1 3 2
1732203254.890155 1 4 3
1732203255.29033 1 5 4
1732203255.690369 1 6 5
1732203256.09033 1 7 6
1732203256.490521 1 8 7
1732203256.890152 1 9 8
1732203257.290129 1 10 9
1732203257.690332 1 11 10
1732203258.091688 1 12 11
1732203258.491006 1 13 12
1732203258.890331 1 14 13
1732203259.290299 1 15 14
1732203259.690103 1 16 15
1732203260.090363 1 17 16
1732203260.491079 0 17 17
1732203260.890463 1 18 17
1732203261.290297 1 19 18
1732203261.690291 1 20 19
1732203262.090079 1 21 20
1732203262.490237 1 22 21
1732203262.890283 1 23 22
1732203263.290271 1 24 23
1732203263.690572 1 25 24
1732203264.090245 1 26 25
1732203264.490509 1 27 26
1732203264.890231 1 28 27
1732203265.290239 1 29 28
1732203265.690227 1 30 29
1732203266.09022 1 31 30
1732203266.491289 1 32 31
1732203266.89018 1 33 32
1732203267.290184 1 34 33
1732203267.690225 1 35 34
1732203268.090201 1 36 35
1732203268.491114 1 37 36
1732203268.890313 1 38 37
1732203269.289991 1 39 38
1732203269.690218 1 40 39
1732203270.09023 1 41 40
1732203270.490162 1 42 41
1732203270.890168 1 43 42
1732203271.290174 1 44 43
1732203271.689972 1 45 44
1732203272.090133 1 46 45
1732203272.490132 1 47 46
1732203272.890148 1 48 47
1732203273.292327 1 49 48
1732203273.690162 1 50 49
1732203274.090002 1 51 50
1732203274.490101 1 52 51
1732203274.956775 1 53 52
1732203275.356771 1 54 53
1732203275.757021 1 55 54
1732203276.156849 1 56 55
1732203276.489939 1 57 56
1732203276.956733 0 57 57
1732203277.356745 1 58 57
1732203277.756751 1 59 58
1732203278.156749 1 60 59
1732203278.556768 1 61 60
1732203278.956551 1 62 61
1732203279.35671 1 63 62
1732203279.756889 1 64 63
1732203280.15676 0 64 64
1732203280.556731 1 65 64
1732203280.956994 1 66 65
1732203281.356524 1 67 66
1732203281.756559 1 68 67
1732203282.156729 1 69 68
1732203282.556747 1 70 69
1732203282.956871 1 71 70
1732203283.356725 1 72 71
1732203283.7565 1 73 72
1732203284.156539 1 74 73
1732203284.556707 1 75 74
1732203284.956694 0 75 75
1732203285.356691 0 75 75
1732203285.756682 0 75 75
1732203286.156694 0 75 75
1732203286.556475 0 75 75
1732203286.957197 1 76 75
1732203287.356645 0 76 76
1732203287.756654 1 77 76
1732203288.157003 0 77 77
1732203288.556947 0 77 77
1732203288.956486 0 77 77
1732203289.356635 0 77 77
1732203289.756697 1 78 77
1732203290.156651 0 78 78
1732203290.556666 0 78 78
1732203290.956627 0 78 78
1732203291.356423 0 78 78
1732203291.756616 0 78 78
1732203292.156594 0 78 78
1732203292.556636 1 79 78
1732203292.956605 0 79 79
1732203293.356648 0 79 79
1732203293.756581 1 80 79
1732203294.156579 0 80 80
1732203294.556565 1 81 80
1732203294.95657 0 81 81
1732203295.356588 1 82 81
1732203295.757305 0 82 82
1732203296.156371 1 83 82
1732203296.556584 0 83 83
1732203296.956534 1 84 83
1732203297.356542 1 85 84
1732203297.756557 1 86 85
1732203298.156574 1 87 86
1732203298.556527 1 88 87
1732203298.957298 1 89 88
1732203299.356503 1 90 89
1732203299.756529 1 91 90
1732203300.156586 1 92 91
1732203300.556542 1 93 92
1732203300.956347 1 94 93
1732203301.356318 1 95 94
1732203301.75651 1 96 95
1732203302.156488 1 97 96
1732203302.556486 0 97 97
1732203302.95662 1 98 97
1732203303.356307 0 98 98
1732203303.756455 0 98 98
1732203304.156471 0 98 98
1732203304.556464 1 99 98
1732203304.956461 0 99 99
1732203305.356486 1 100 99
1732203305.756528 1 101 100
1732203306.156266 1 102 101
1732203306.55666 1 103 102
1732203306.956514 1 104 103
1732203307.356441 1 105 104
1732203307.756441 1 106 105
1732203308.156467 1 107 106
1732203308.556414 1 108 107
1732203308.956401 1 109 108
1732203309.35644 1 110 109
1732203309.756444 1 111 110
1732203310.15644 1 112 111
1732203310.556436 1 113 112
1732203310.956213 1 114 113
1732203311.35638 1 115 114
1732203311.756384 1 116 115
1732203312.156423 0 116 116
1732203312.55656 1 117 116
1732203312.956394 0 117 117
1732203313.356184 1 118 117
1732203313.756367 0 118 118
1732203314.156381 1 119 118
1732203314.556426 1 120 119
1732203314.95637 1 121 120
1732203315.356374 1 122 121
1732203315.756177 1 123 122
1732203316.15637 1 124 123
1732203316.556326 1 125 124
1732203316.956328 1 126 125
1732203317.356338 1 127 126
1732203317.756377 1 128 127
1732203318.156144 1 129 128
1732203318.556142 1 130 129
1732203318.956388 1 131 130
1732203319.356333 1 132 131
1732203319.756455 1 133 132
1732203320.156719 1 134 133
1732203320.556313 1 135 134
1732203320.957491 1 136 135
1732203321.356271 1 137 136
1732203321.756282 1 138 137
1732203322.156455 0 138 138
1732203322.556286 1 139 138
1732203322.95611 0 139 139
1732203323.35632 1 140 139
1732203323.756357 1 141 140
1732203324.156272 0 141 141
1732203324.556456 1 142 141
1732203324.956267 1 143 142
1732203325.356264 1 144 143
1732203325.822726 1 145 144
1732203326.222887 1 146 145
1732203326.622941 1 147 146
1732203327.022893 1 148 147
1732203327.422914 1 149 148
1732203327.822903 0 149 149
1732203328.2227 1 150 149
1732203328.622907 1 151 150
1732203329.022869 1 152 151
1732203329.422863 1 153 152
1732203329.822875 1 154 153
1732203330.222874 1 155 154
1732203330.622678 1 156 155
1732203331.022849 1 157 156
1732203331.422864 1 158 157
1732203331.822851 1 159 158
1732203332.222985 1 160 159
1732203332.622855 1 161 160
1732203333.022643 1 162 161
1732203333.422824 1 163 162
1732203333.822809 1 164 163
1732203334.222838 1 165 164
1732203334.622847 1 166 165
1732203335.022821 1 167 166
1732203335.422614 0 167 167
1732203335.822776 1 168 167
1732203336.222782 1 169 168
